customer_id,customer_first_date,customer_last_date,customer_tenure,customer_no_of_orders,customer_total_quantity,customer_average_order_value,customer_historical_clv,customer_diversity_score,customer_total_revenue,customer_is_repeat,customer_churn_probability,customer_avg_days_between_orders,customer_return_count,customer_return_value,customer_avg_days_between_order_and_return,customer_first_order_product_count,customer_first_order_value,customer_recency
10,2011-10-04,2011-10-04,0,1,14,204.96,204.96,0.0,204.96,False,0.0,,0,0.0,,14,204.96,819
100,2013-02-14,2013-02-14,0,1,5,263.15,263.15,0.0,263.15,False,0.0,,0,0.0,,5,263.15,320
1000,2010-09-14,2010-09-14,0,1,12,395.52,395.52,0.0,395.52,False,0.0,,0,0.0,,12,395.52,1204
1002,2011-05-25,2011-05-25,0,1,29,2342.39,2342.39,0.01,2342.39,False,0.0,0.0,0,0.0,,12,92.88,951
1003,2013-02-17,2013-02-17,0,1,11,1330.67,1330.67,0.0,1330.67,False,0.0,,0,0.0,,11,1330.67,317
1005,2010-03-04,2010-08-27,176,2,24,466.72,450.1,0.0,933.44,True,0.0,176.0,0,0.0,,1,9.53,1222
1006,2011-01-26,2013-12-22,1061,3,30,190.67,1662.75,0.44,572.0,True,0.0,353.0,0,0.0,,8,78.4,9
1008,2010-05-25,2010-05-25,0,1,8,24.96,24.96,0.0,24.96,False,0.0,,0,0.0,,8,24.96,1316
1009,2010-12-19,2013-01-23,766,2,30,3501.34,14696.03,0.02,14005.36,True,0.0,766.0,0,0.0,,14,6942.32,342
101,2010-06-22,2012-04-24,672,2,29,1004.18,3697.58,0.0,2008.36,True,0.0,672.0,0,0.0,,16,287.68,616
1010,2011-01-07,2011-01-07,0,1,3,26.73,26.73,0.0,26.73,False,0.0,,0,0.0,,3,26.73,1089
1011,2013-07-02,2013-07-02,0,1,1,10.84,10.84,0.0,10.84,False,0.0,,0,0.0,,1,10.84,182
1012,2012-08-17,2012-08-17,0,1,5,98.6,98.6,0.0,98.6,False,0.0,,0,0.0,,5,98.6,501
1014,2010-03-01,2012-12-17,1022,5,57,179.53,2513.42,0.41,897.63,True,0.0,170.0,0,0.0,,6,155.52,379
1015,2010-09-18,2013-11-18,1157,4,90,1067.3,13532.78,0.65,4269.2,True,0.0,231.0,0,0.0,,14,615.72,43
1016,2010-06-12,2011-08-02,416,2,32,1022.96,2331.79,0.17,2045.92,True,0.0,138.0,0,0.0,,1,6.35,882
1017,2012-10-01,2013-06-12,254,2,15,413.71,575.79,0.29,827.42,True,0.0,127.0,0,0.0,,1,12.92,202
1018,2010-10-08,2012-12-03,787,4,64,306.54,2643.8,0.18,1226.14,True,0.0,131.0,0,0.0,,19,647.9,393
102,2010-04-06,2013-02-14,1045,7,6160,44459.53,891017.49,0.54,311216.73,True,0.0,6.0,0,0.0,,31,8957.14,320
1020,2010-03-07,2013-09-21,1294,7,202,470.23,11669.43,0.42,6583.18,True,0.0,184.0,0,0.0,,5,2354.55,101
1021,2012-11-30,2012-11-30,0,1,34,1402.16,1402.16,0.0,1402.16,False,0.0,,0,0.0,,34,1402.16,396
1022,2013-10-29,2013-10-29,0,1,7,93.31,93.31,0.0,93.31,False,0.0,,0,0.0,,7,93.31,63
1023,2010-05-15,2012-10-20,889,3,47,434.5,3174.83,0.0,1303.5,True,0.0,296.0,0,0.0,,16,612.48,437
1025,2011-09-03,2013-12-01,820,4,107,6516.38,58558.15,0.47,26065.51,True,0.0,136.0,0,0.0,,5,739.35,30
1026,2010-08-07,2012-09-15,770,3,88,521.59,3301.02,0.11,1564.78,True,0.0,256.0,0,0.0,,22,1335.62,472
1027,2010-03-12,2013-12-28,1387,2,54,8668.46,65880.3,0.0,17336.92,True,0.0,462.0,0,0.0,,5,332.9,3
1028,2010-09-29,2013-05-21,965,4,51,785.17,8303.44,0.25,3140.68,True,0.0,193.0,0,0.0,,13,85.54,224
103,2011-02-23,2011-02-23,0,1,9,312.57,312.57,0.0,312.57,False,0.0,,0,0.0,,9,312.57,1042
1030,2012-04-20,2013-01-19,274,2,68,1167.44,1752.76,0.4,4669.76,True,0.0,91.0,0,0.0,,11,1761.65,346
1031,2011-01-02,2013-02-13,773,5,330,1664.52,17625.67,0.41,16645.2,True,0.0,38.0,0,0.0,,11,214.72,321
1032,2011-01-02,2013-07-17,927,2,34,509.29,2586.91,0.12,2037.14,True,0.0,927.0,0,0.0,,10,954.1,167
1033,2012-12-25,2013-10-13,292,4,152,516.72,1653.5,0.41,4133.72,True,0.0,48.0,0,0.0,,21,77.49,79
1035,2010-03-13,2012-08-16,887,3,12,1031.53,7520.27,0.09,3094.6,True,0.0,295.0,0,0.0,,1,117.17,502
1036,2010-03-13,2012-03-24,742,2,16,325.2,1322.18,0.19,650.4,True,0.0,371.0,0,0.0,,6,581.94,647
1038,2010-12-16,2013-03-05,810,3,51,3167.73,21089.27,0.04,9503.19,True,0.0,135.0,0,0.0,,5,34.4,301
1039,2012-02-02,2013-04-07,430,2,17,397.63,936.88,0.46,795.26,True,0.0,430.0,0,0.0,,4,280.72,268
104,2011-02-23,2011-02-23,0,1,3,52.05,52.05,0.0,52.05,False,0.0,,0,0.0,,3,52.05,1042
1041,2010-04-17,2013-10-30,1292,3,40,686.87,7293.99,0.25,2060.61,True,0.0,430.0,0,0.0,,6,315.48,62
1042,2010-05-16,2011-12-02,565,2,12,215.94,668.53,0.32,431.88,True,0.0,565.0,0,0.0,,6,86.52,760
1043,2012-10-21,2013-09-06,320,2,19,1605.47,2815.07,0.0,3210.94,True,0.0,320.0,0,0.0,,7,154.42,116
1044,2010-06-14,2013-03-26,1016,5,3080,40515.44,563885.99,0.13,202577.2,True,0.0,17.0,0,0.0,,62,12749.68,280
1045,2011-09-08,2011-09-08,0,1,16,60.16,60.16,0.0,60.16,False,0.0,,0,0.0,,16,60.16,845
1046,2012-03-20,2012-03-20,0,1,14,76.16,76.16,0.0,76.16,False,0.0,,0,0.0,,14,76.16,651
1047,2010-08-27,2010-08-27,0,1,253,1690.04,1690.04,0.0,1690.04,False,0.0,0.0,0,0.0,,23,153.64,1222
1048,2013-06-14,2013-06-14,0,1,8,1538.88,1538.88,0.0,1538.88,False,0.0,,0,0.0,,8,1538.88,200
1049,2013-03-26,2013-03-26,0,1,1,51.51,51.51,0.0,51.51,False,0.0,,0,0.0,,1,51.51,280
105,2013-02-23,2013-02-23,0,1,8,76.64,76.64,0.0,76.64,False,0.0,,0,0.0,,8,76.64,311
1050,2013-06-14,2013-06-14,0,1,15,3084.6,3084.6,0.0,3084.6,False,0.0,,0,0.0,,15,3084.6,200
1052,2012-02-17,2012-02-17,0,1,3,115.14,115.14,0.0,115.14,False,0.0,,0,0.0,,3,115.14,683
1053,2011-05-24,2013-08-12,811,5,54,747.86,8308.41,0.2,3739.3,True,0.0,162.0,0,0.0,,9,3320.01,141
